HourUTC;HourDK;PriceArea;SpotPriceDKK;SpotPriceEUR
2024-01-02 20:00:00;2024-01-02 21:00:00;DK1;349,549988;46,889999
2024-01-02 20:00:00;2024-01-02 21:00:00;DE;349,549988;46,889999
2024-01-02 21:00:00;2024-01-02 22:00:00;SYSTEM;392,049988;52,590000
2024-01-02 21:00:00;2024-01-02 22:00:00;SE4;305,570007;40,990002
2024-01-02 21:00:00;2024-01-02 22:00:00;SE3;305,570007;40,990002
2024-01-02 21:00:00;2024-01-02 22:00:00;NO2;466,739990;62,610001
2024-01-02 21:00:00;2024-01-02 22:00:00;DK2;298,190002;40,000000
2024-01-02 21:00:00;2024-01-02 22:00:00;DK1;298,190002;40,000000
2024-01-02 21:00:00;2024-01-02 22:00:00;DE;298,190002;40,000000
2024-01-02 22:00:00;2024-01-02 23:00:00;SYSTEM;352,459991;47,279999
2024-01-02 22:00:00;2024-01-02 23:00:00;SE4;285,890015;38,349998
2024-01-02 22:00:00;2024-01-02 23:00:00;SE3;285,890015;38,349998
2024-01-02 22:00:00;2024-01-02 23:00:00;NO2;441,019989;59,160000
2024-01-02 22:00:00;2024-01-02 23:00:00;DK2;223,639999;30,000000
2024-01-02 22:00:00;2024-01-02 23:00:00;DK1;162,589996;21,809999
2024-01-02 22:00:00;2024-01-02 23:00:00;DE;55,389999;7,430000
2024-01-02 23:00:00;2024-01-03 00:00:00;SYSTEM;325,269989;43,630001
2024-01-02 23:00:00;2024-01-03 00:00:00;SE4;304,170013;40,799999
2024-01-02 23:00:00;2024-01-03 00:00:00;SE3;304,170013;40,799999
2024-01-02 23:00:00;2024-01-03 00:00:00;NO2;432,399994;58,000000
2024-01-02 23:00:00;2024-01-03 00:00:00;DK2;149,100006;20,000000
2024-01-02 23:00:00;2024-01-03 00:00:00;DK1;7,750000;1,040000
